rank,country,industrial_production_growth_rate,date_of_information
1,Guyana,98.53,2022 est.
2,Kiribati,21.11,2021 est.
3,Slovakia,15.61,2023 est.
4,Fiji,15.32,2023 est.
5,"Congo, Democratic Republic of the",14.56,2023 est.
6,Liberia,13.86,2023 est.
7,Panama,13.06,2023 est.
8,Mongolia,12.57,2023 est.
9,Libya,12.54,2023 est.
10,San Marino,11.57,2021 est.
11,Guinea,11.47,2023 est.
12,Mauritius,10.47,2023 est.
13,Mozambique,10.43,2023 est.
14,"Bahamas, The",10.34,2023 est.
15,Rwanda,10.25,2023 est.
16,Marshall Islands,10.24,2022 est.
17,Djibouti,10,2023 est.
18,Isle of Man,9.95,2021 est.
19,Tajikistan,9.26,2022 est.
20,Namibia,9.19,2023 est.
21,Cote d'Ivoire,9.06,2023 est.
22,India,9.02,2023 est.
23,Iran,8.84,2023 est.
24,Ukraine,8.61,2023 est.
25,United Arab Emirates,8.49,2022 est.
26,Bangladesh,8.37,2023 est.
27,Costa Rica,8.35,2023 est.
28,Belarus,8.12,2023 est.
29,Kuwait,8.05,2022 est.
30,Denmark,7.92,2023 est.
31,Kazakhstan,7.36,2023 est.
32,Benin,7.29,2023 est.
33,Maldives,7.26,2023 est.
34,Ethiopia,6.93,2023 est.
35,Togo,6.74,2023 est.
36,Papua New Guinea,6.61,2022 est.
37,Sao Tome and Principe,6.59,2022 est.
38,"Gambia, The",6.5,2023 est.
39,Georgia,6.15,2023 est.
40,Uzbekistan,6.15,2023 est.
41,Nicaragua,6.07,2023 est.
42,Israel,6.05,2021 est.
43,Turks and Caicos Islands,5.84,2016 est.
44,Bhutan,5.6,2022 est.
45,Bermuda,5.57,2022 est.
46,Armenia,5.51,2023 est.
47,Zimbabwe,5.5,2022 est.
48,Hong Kong,5.06,2022 est.
49,Oman,5.05,2022 est.
50,Dominica,5.01,2023 est.
51,Indonesia,5,2023 est.
52,Jamaica,4.98,2023 est.
53,Kyrgyzstan,4.93,2023 est.
54,Vanuatu,4.92,2018 est.
55,Solomon Islands,4.7,2022 est.
56,French Polynesia,4.3,2014 est.
57,Cambodia,4.3,2023 est.
58,Turkmenistan,4.3,2014 est.
59,Curacao,4.3,2014 est.
60,Virgin Islands,4.3,2014 est.
61,Northern Mariana Islands,4.3,2014 est.
62,Tuvalu,4.3,2014 est.
63,Malta,4.3,2014 est.
64,New Caledonia,4.3,2014 est.
65,"Korea, North",4.3,2014 est.
66,Liechtenstein,4.3,2014 est.
67,Somalia,4.3,2014 est.
68,Guam,4.3,2014 est.
69,Saint Martin,4.3,2014 est.
70,Faroe Islands,4.3,2014 est.
71,Eritrea,4.3,2014 est.
72,Puerto Rico,4.3,2014 est.
73,Gibraltar,4.3,2014 est.
74,Nauru,4.3,2014 est.
75,El Salvador,4.12,2023 est.
76,Albania,4.03,2023 est.
77,Anguilla,4,2017 est.
78,Guinea-Bissau,4,2023 est.
79,Saint Vincent and the Grenadines,3.91,2023 est.
80,Taiwan,3.9,2017 est.
81,Tanzania,3.9,2023 est.
82,Antigua and Barbuda,3.89,2023 est.
83,Andorra,3.88,2023 est.
84,Cameroon,3.8,2023 est.
85,Slovenia,3.8,2023 est.
86,Vietnam,3.74,2023 est.
87,Algeria,3.74,2023 est.
88,Barbados,3.64,2023 est.
89,Serbia,3.62,2023 est.
90,Philippines,3.59,2023 est.
91,China,3.58,2023 est.
92,Russia,3.56,2023 est.
93,Mexico,3.52,2023 est.
94,Saint Lucia,3.5,2023 est.
95,Uganda,3.5,2023 est.
96,Gabon,3.5,2023 est.
97,Cayman Islands,3.45,2022 est.
98,Paraguay,3.43,2023 est.
99,Montenegro,3.34,2023 est.
100,Jordan,3.28,2023 est.
101,Sierra Leone,3.27,2023 est.
102,Chad,3.27,2023 est.
103,United States,3.25,2021 est.
104,Iceland,3.24,2023 est.
105,Trinidad and Tobago,3.18,2022 est.
106,Cyprus,3.16,2023 est.
107,Suriname,3.05,2022 est.
108,Niger,2.9,2023 est.
109,Senegal,2.9,2023 est.
110,Burundi,2.75,2023 est.
111,Laos,2.61,2023 est.
112,Turkey (Turkiye),2.34,2023 est.
113,Botswana,2.25,2023 est.
114,Kenya,2.2,2023 est.
115,Seychelles,2.13,2023 est.
116,Burkina Faso,1.95,2023 est.
117,Spain,1.94,2023 est.
118,Guatemala,1.91,2023 est.
119,Zambia,1.73,2023 est.
120,Qatar,1.69,2022 est.
121,Greece,1.68,2023 est.
122,Guernsey,1.64,2022 est.
123,Jersey,1.64,2022 est.
124,Brazil,1.59,2023 est.
125,Malawi,1.58,2023 est.
126,Chile,1.56,2023 est.
127,Kosovo,1.56,2023 est.
128,Burma,1.53,2023 est.
129,Eswatini,1.53,2023 est.
130,Malaysia,1.43,2023 est.
131,Nepal,1.38,2023 est.
132,Azerbaijan,1.34,2023 est.
133,Australia,1.34,2023 est.
134,Tonga,1.23,2021 est.
135,Cabo Verde,1.18,2023 est.
136,Romania,1.15,2023 est.
137,"Korea, South",1.14,2023 est.
138,British Virgin Islands,1.1,2017 est.
139,Bolivia,1,2023 est.
140,Morocco,0.96,2023 est.
141,Bulgaria,0.91,2023 est.
142,"Micronesia, Federated States of",0.78,2023 est.
143,"Congo, Republic of the",0.75,2023 est.
144,France,0.74,2023 est.
145,Lebanon,0.74,2023 est.
146,Nigeria,0.72,2023 est.
147,Latvia,0.71,2023 est.
148,Poland,0.55,2023 est.
149,Luxembourg,0.49,2023 est.
150,Sint Maarten,0.46,2021 est.
151,Norway,0.22,2023 est.
152,United Kingdom,0.14,2023 est.
153,Comoros,0,2023 est.
154,Italy,-0.02,2023 est.
155,Dominican Republic,-0.07,2023 est.
156,South Africa,-0.15,2023 est.
157,Lesotho,-0.33,2023 est.
158,Argentina,-0.35,2023 est.
159,Czechia,-0.44,2023 est.
160,Croatia,-0.47,2023 est.
161,Mauritania,-0.48,2023 est.
162,Egypt,-0.57,2023 est.
163,Ecuador,-0.75,2023 est.
164,Mali,-0.82,2023 est.
165,Canada,-0.9,2023 est.
166,North Macedonia,-1.07,2023 est.
167,Bahrain,-1.1,2023 est.
168,Yemen,-1.12,2018 est.
169,Portugal,-1.13,2023 est.
170,Ghana,-1.22,2023 est.
171,Japan,-1.25,2022 est.
172,Peru,-1.28,2023 est.
173,Brunei,-1.43,2023 est.
174,Tunisia,-1.5,2023 est.
175,Saudi Arabia,-1.51,2023 est.
176,Germany,-1.59,2023 est.
177,Switzerland,-1.66,2023 est.
178,Samoa,-1.9,2023 est.
179,Belgium,-1.95,2023 est.
180,Colombia,-1.95,2023 est.
181,Austria,-1.99,2023 est.
182,Netherlands,-2.02,2023 est.
183,Honduras,-2.04,2023 est.
184,Lithuania,-2.17,2023 est.
185,Thailand,-2.27,2023 est.
186,Saint Kitts and Nevis,-2.4,2023 est.
187,New Zealand,-2.56,2022 est.
188,Sweden,-2.68,2023 est.
189,Finland,-2.72,2023 est.
190,Bosnia and Herzegovina,-2.8,2023 est.
191,Singapore,-2.89,2023 est.
192,Monaco,-3.16,2014 est.
193,Pakistan,-3.76,2023 est.
194,Haiti,-3.82,2023 est.
195,Uruguay,-3.83,2023 est.
196,Grenada,-4.07,2023 est.
197,Belize,-4.52,2023 est.
198,Hungary,-5.16,2023 est.
199,Macau,-5.63,2022 est.
200,Afghanistan,-5.73,2022 est.
201,Venezuela,-5.84,2014 est.
202,Iraq,-6.34,2023 est.
203,Cuba,-6.73,2022 est.
204,Angola,-7.18,2023 est.
205,West Bank,-8.57,2023 est.
206,Gaza Strip,-8.57,2023 est.
207,Sri Lanka,-9.23,2023 est.
208,Estonia,-9.7,2023 est.
209,Central African Republic,-10.28,2023 est.
210,Greenland,-10.63,2021 est.
211,Ireland,-10.79,2023 est.
212,Sudan,-11.6,2023 est.
213,Moldova,-11.74,2023 est.
214,Equatorial Guinea,-11.87,2023 est.
215,Syria,-14.03,2021 est.
216,Palau,-19.56,2022 est.
217,Montserrat,-21,2017 est.
218,Madagascar,-33.28,2023 est.
219,South Sudan,-36.78,2015 est.
220,Timor-Leste,-46.25,2022 est.
