rank,country,merchant_marine,date_of_information
1,Indonesia,11422,2023 est.
2,China,8314,2023 est.
3,Panama,8174,2023 est.
4,Japan,5229,2023 est.
5,Liberia,4821,2023 est.
6,Marshall Islands,4180,2023 est.
7,United States,3533,2023 est.
8,Singapore,3202,2023 est.
9,Russia,2910,2023 est.
10,Hong Kong,2537,2023 est.
11,Philippines,2203,2023 est.
12,"Korea, South",2149,2023 est.
13,Vietnam,1973,2022 est.
14,Malta,1957,2023 est.
15,India,1859,2023 est.
16,Malaysia,1750,2023 est.
17,Norway,1720,2022 est.
18,Italy,1276,2023 est.
19,"Bahamas, The",1274,2023 est.
20,Greece,1215,2023 est.
21,Netherlands,1187,2023 est.
22,Turkey (Turkiye),1170,2023 est.
23,Cyprus,1005,2023 est.
24,Iran,965,2023 est.
25,Nigeria,928,2023 est.
26,Brazil,888,2023 est.
27,Portugal,888,2023 est.
28,Thailand,884,2023 est.
29,United Kingdom,868,2023 est.
30,Saint Vincent and the Grenadines,830,2023 est.
31,Belize,774,2023 est.
32,Canada,716,2023 est.
33,Denmark,715,2023 est.
34,Mexico,674,2023 est.
35,United Arab Emirates,655,2023 est.
36,Antigua and Barbuda,614,2023 est.
37,Australia,604,2023 est.
38,Germany,595,2023 est.
39,Sierra Leone,584,2023 est.
40,Bangladesh,558,2023 est.
41,France,553,2023 est.
42,Spain,503,2023 est.
43,Honduras,489,2023 est.
44,Taiwan,465,2023 est.
45,Egypt,441,2023 est.
46,Saudi Arabia,433,2023 est.
47,Palau,427,2023 est.
48,Ukraine,410,2023 est.
49,Togo,397,2023 est.
50,Croatia,384,2023 est.
51,Tanzania,381,2023 est.
52,Sweden,361,2023 est.
53,Saint Kitts and Nevis,341,2023 est.
54,Vanuatu,338,2023 est.
55,Mongolia,318,2023 est.
56,Azerbaijan,312,2023 est.
57,Finland,282,2023 est.
58,Comoros,273,2023 est.
59,Barbados,272,2023 est.
60,Venezuela,272,2023 est.
61,Tuvalu,270,2023 est.
62,Isle of Man,269,2023 est.
63,"Korea, North",264,2023 est.
64,Chile,249,2023 est.
65,Papua New Guinea,205,2023 est.
66,Argentina,201,2023 est.
67,Cameroon,198,2023 est.
68,Belgium,198,2023 est.
69,Cambodia,195,2023 est.
70,Cook Islands,190,2023 est.
71,Bahrain,184,2023 est.
72,Kuwait,176,2023 est.
73,Ecuador,154,2023 est.
74,Colombia,153,2023 est.
75,Poland,152,2023 est.
76,Luxembourg,147,2023 est.
77,Cayman Islands,130,2023 est.
78,Gibraltar,129,2023 est.
79,Romania,127,2023 est.
80,Qatar,123,2023 est.
81,Bermuda,122,2023 est.
82,Kazakhstan,122,2023 est.
83,Algeria,119,2022 est.
84,New Zealand,117,2023 est.
85,Peru,111,2023 est.
86,South Africa,110,2023 est.
87,Paraguay,108,2023 est.
88,Trinidad and Tobago,102,2023 est.
89,Burma,101,2023 est.
90,Brunei,97,2023 est.
91,Libya,96,2023 est.
92,Sri Lanka,96,2023 est.
93,Ireland,94,2023 est.
94,Morocco,94,2023 est.
95,Faroe Islands,91,2023 est.
96,Gabon,87,2023 est.
97,Latvia,83,2023 est.
98,Maldives,82,2023 est.
99,Guyana,80,2023 est.
100,Bulgaria,78,2023 est.
101,Dominica,77,2023 est.
102,Moldova,75,2023 est.
103,Iraq,74,2023 est.
104,Kiribati,74,2023 est.
105,Fiji,74,2023 est.
106,Turkmenistan,73,2023 est.
107,Tunisia,72,2023 est.
108,Estonia,72,2023 est.
109,Niue,70,2023 est.
110,Albania,69,2023 est.
111,Cuba,65,2023 est.
112,Angola,64,2023 est.
113,Pakistan,60,2023 est.
114,Lithuania,59,2023 est.
115,Uruguay,58,2023 est.
116,Curacao,57,2023 est.
117,Oman,57,2023 est.
118,Equatorial Guinea,53,2023 est.
119,Ghana,52,2023 est.
120,Lebanon,51,2023 est.
121,Bolivia,50,2023 est.
122,Cabo Verde,44,2023 est.
123,Israel,41,2023 est.
124,Dominican Republic,40,2023 est.
125,Jamaica,40,2023 est.
126,Djibouti,40,2023 est.
127,Iceland,39,2023 est.
128,"Micronesia, Federated States of",38,2023 est.
129,Senegal,36,2023 est.
130,Mozambique,36,2023 est.
131,Jordan,34,2023 est.
132,Mauritius,32,2023 est.
133,Yemen,30,2023 est.
134,Seychelles,30,2023 est.
135,Madagascar,29,2023 est.
136,Tonga,29,2023 est.
137,British Virgin Islands,29,2023 est.
138,Kenya,26,2023 est.
139,Georgia,26,2023 est.
140,Cote d'Ivoire,25,2023 est.
141,Sao Tome and Principe,25,2023 est.
142,Solomon Islands,25,2023 est.
143,"Congo, Democratic Republic of the",24,2023 est.
144,Syria,24,2023 est.
145,French Polynesia,24,2023 est.
146,New Caledonia,23,2023 est.
147,Guinea-Bissau,20,2023 est.
148,Montenegro,18,2023 est.
149,Switzerland,17,2023 est.
150,Liechtenstein,17,2023 est.
151,"Gambia, The",15,2023 est.
152,Namibia,15,2023 est.
153,Sudan,14,2023 est.
154,Suriname,13,2023 est.
155,Samoa,13,2023 est.
156,Ethiopia,12,2023 est.
157,Costa Rica,11,2023 est.
158,Mauritania,11,2023 est.
159,"Congo, Republic of the",11,2023 est.
160,Greenland,10,2023 est.
161,Eritrea,9,2023 est.
162,Guatemala,9,2023 est.
163,Slovenia,8,2023 est.
164,Nauru,6,2023 est.
165,Benin,6,2023 est.
166,Grenada,6,2023 est.
167,Macau,5,2023 est.
168,Nicaragua,5,2023 est.
169,El Salvador,5,2023 est.
170,Haiti,4,2023 est.
171,Belarus,4,2023 est.
172,Somalia,4,2023 est.
173,Guam,3,2023 est.
174,Turks and Caicos Islands,3,2023 est.
175,Guinea,2,2023 est.
176,Anguilla,2,2023 est.
177,Virgin Islands,2,2023 est.
178,Zambia,2,2023 est.
179,French Southern and Antarctic Lands,2,2023 est.
180,Falkland Islands (Islas Malvinas),2,2023 est.
181,Austria,1,2023 est.
182,Aruba,1,2023 est.
183,Wallis and Futuna,1,2023 est.
184,Laos,1,2023 est.
185,Monaco,1,
186,Timor-Leste,1,2023 est.
187,Hungary,1,2023 est.
