rank,country,population,date_of_information
1,China,1416043270,
2,India,1409128296,
3,United States,341963408,
4,Indonesia,281562465,
5,Pakistan,252363571,
6,Nigeria,236747130,
7,Brazil,220051512,
8,Bangladesh,168697184,
9,Russia,140820810,
10,Mexico,130739927,
11,Japan,123201945,
12,Ethiopia,118550298,
13,Philippines,118277063,
14,"Congo, Democratic Republic of the",115403027,
15,Egypt,111247248,
16,Vietnam,105758975,
17,Iran,88386937,
18,Turkey (Turkiye),84119531,
19,Germany,84119100,
20,Thailand,69920998,
21,United Kingdom,68459055,
22,France,68374591,
23,Tanzania,67462121,
24,Italy,60964931,
25,South Africa,60442647,
26,Kenya,58246378,
27,Burma,57527139,
28,"Korea, South",52081799,
29,Sudan,50467278,
30,Colombia,49588357,
31,Uganda,49283041,
32,Spain,47280433,
33,Algeria,47022473,
34,Argentina,46994384,
35,Iraq,42083436,
36,Afghanistan,40121552,
37,Canada,38794813,
38,Poland,38746310,
39,Morocco,37387585,
40,Angola,37202061,
41,Saudi Arabia,36544431,
42,Uzbekistan,36520593,
43,Ukraine,35661826,
44,Ghana,34589092,
45,Malaysia,34564810,
46,Mozambique,33350954,
47,Peru,32600249,
48,Yemen,32140443,
49,Venezuela,31250306,
50,Nepal,31122387,
51,Cameroon,30966105,
52,Cote d'Ivoire,29981758,
53,Madagascar,29452714,
54,Australia,26768598,
55,Niger,26342784,
56,"Korea, North",26298666,
57,Syria,23865423,
58,Taiwan,23595274,
59,Burkina Faso,23042199,
60,Mali,21990607,
61,Sri Lanka,21982608,
62,Malawi,21763309,
63,Zambia,20799116,
64,Kazakhstan,20260006,
65,Chad,19093595,
66,Senegal,18847519,
67,Chile,18664652,
68,Ecuador,18309984,
69,Guatemala,18255216,
70,Romania,18148155,
71,Netherlands,17772378,
72,Zimbabwe,17150352,
73,Cambodia,17063669,
74,Benin,14697052,
75,Guinea,13986179,
76,Rwanda,13623302,
77,Burundi,13590102,
78,Somalia,13017273,
79,South Sudan,12703714,
80,Bolivia,12311974,
81,Tunisia,12048847,
82,Belgium,11977634,
83,Haiti,11753943,
84,Jordan,11174024,
85,Cuba,10966038,
86,Czechia,10837890,
87,Dominican Republic,10815857,
88,Azerbaijan,10650239,
89,Sweden,10589835,
90,Greece,10461091,
91,Tajikistan,10394063,
92,Portugal,10207177,
93,Papua New Guinea,10046233,
94,United Arab Emirates,10032213,
95,Hungary,9855745,
96,Honduras,9529188,
97,Belarus,9501451,
98,Israel,9402617,
99,Sierra Leone,9121049,
100,Austria,8967982,
101,Togo,8917994,
102,Switzerland,8860574,
103,Laos,7953556,
104,Paraguay,7522549,
105,Libya,7361263,
106,Hong Kong,7297821,
107,Bulgaria,6782659,
108,Nicaragua,6676948,
109,Serbia,6652212,
110,El Salvador,6628702,
111,Eritrea,6343956,
112,Kyrgyzstan,6172101,
113,"Congo, Republic of the",6097665,
114,Singapore,6028459,
115,Denmark,5973136,
116,Turkmenistan,5744151,
117,Central African Republic,5650957,
118,Finland,5626414,
119,Slovakia,5563649,
120,Norway,5509733,
121,Liberia,5437249,
122,Lebanon,5364482,
123,Costa Rica,5265575,
124,Ireland,5233461,
125,New Zealand,5161211,
126,Georgia,4900961,
127,Panama,4470241,
128,Mauritania,4328040,
129,Croatia,4150116,
130,Oman,3901992,
131,Bosnia and Herzegovina,3798671,
132,Moldova,3599528,
133,Uruguay,3425330,
134,Mongolia,3281676,
135,West Bank,3243369,
136,Kuwait,3138355,
137,Albania,3107100,
138,Puerto Rico,3019450,
139,Armenia,2976765,
140,Jamaica,2823713,
141,Namibia,2803660,
142,Lithuania,2628186,
143,Qatar,2552088,
144,"Gambia, The",2523327,
145,Gabon,2455105,
146,Botswana,2450668,
147,Lesotho,2227548,
148,Gaza Strip,2141643,
149,North Macedonia,2135622,
150,Guinea-Bissau,2132325,
151,Slovenia,2097893,
152,Kosovo,1977093,
153,Latvia,1801246,
154,Equatorial Guinea,1795834,
155,Bahrain,1566888,
156,Timor-Leste,1506909,
157,Trinidad and Tobago,1408966,
158,Cyprus,1320525,
159,Mauritius,1310504,
160,Estonia,1193791,
161,Eswatini,1138089,
162,Djibouti,994974,
163,Fiji,951611,
164,Comoros,900141,
165,Bhutan,884546,
166,Guyana,794099,
167,Solomon Islands,726799,
168,Luxembourg,671254,
169,Suriname,646758,
170,Macau,644426,
171,Cabo Verde,611014,
172,Montenegro,599849,
173,Brunei,491900,
174,Malta,469730,
175,Belize,415789,
176,"Bahamas, The",410862,
177,Maldives,388858,
178,Iceland,364036,
179,Vanuatu,318007,
180,New Caledonia,304167,
181,Barbados,304139,
182,French Polynesia,303540,
183,Sao Tome and Principe,223561,
184,Samoa,208853,
185,Guam,169532,
186,Saint Lucia,168038,
187,Curacao,153289,
188,Aruba,125063,
189,Kiribati,116545,
190,Grenada,114621,
191,Tonga,104889,
192,Virgin Islands,104377,
193,Jersey,103387,
194,Antigua and Barbuda,102634,
195,Saint Vincent and the Grenadines,100647,
196,"Micronesia, Federated States of",99603,
197,Seychelles,98187,
198,Isle of Man,92269,
199,Andorra,85370,
200,Marshall Islands,82011,
201,Dominica,74661,
202,Bermuda,72800,
203,Guernsey,67787,
204,Cayman Islands,66653,
205,Turks and Caicos Islands,60439,
206,Greenland,57751,
207,Saint Kitts and Nevis,55133,
208,Faroe Islands,52933,
209,Northern Mariana Islands,51118,
210,Sint Maarten,46215,
211,American Samoa,43895,
212,Liechtenstein,40272,
213,British Virgin Islands,40102,
214,San Marino,35095,
215,Saint Martin,32996,
216,Monaco,31813,
217,Gibraltar,29683,
218,Palau,21864,
219,Anguilla,19416,
220,Wallis and Futuna,15964,
221,Tuvalu,11733,
222,Nauru,9892,
223,"Saint Helena, Ascension, and Tristan da Cunha",7943,
224,Cook Islands,7761,
225,Saint Barthelemy,7086,
226,Montserrat,5468,
227,Saint Pierre and Miquelon,5132,
228,Falkland Islands (Islas Malvinas),3662,2021 est.
229,Svalbard,2926,2021 est.
230,Niue,2000,2022 est.
231,Norfolk Island,1748,2016 est.
232,Christmas Island,1692,
233,Tokelau,1647,2019 est.
234,Paracel Islands,1440,July 2014 est.
235,Holy See (Vatican City),1000,2022 est.
236,Cocos (Keeling) Islands,593,
237,Pitcairn Islands,50,2021 est.
