rank,country,tobacco_use,date_of_information
1,Nauru,48.5,2020 est.
2,Burma,44.1,2020 est.
3,Kiribati,40.6,2020 est.
4,Serbia,39.8,2020 est.
5,Papua New Guinea,39.3,2020 est.
6,Timor-Leste,39.2,2020 est.
7,Bulgaria,39,2020 est.
8,Lebanon,38.2,2020 est.
9,Indonesia,37.6,2020 est.
10,Latvia,37,2020 est.
11,Croatia,36.9,2020 est.
12,Solomon Islands,36.5,2020 est.
13,Tuvalu,35.6,2020 est.
14,Cyprus,35.1,2020 est.
15,Bosnia and Herzegovina,35,2020 est.
16,Jordan,34.8,2020 est.
17,Bangladesh,34.7,2020 est.
18,Greece,33.5,2020 est.
19,France,33.4,2020 est.
20,Lithuania,32,2020 est.
21,Laos,31.8,2020 est.
22,Hungary,31.8,2020 est.
23,Andorra,31.8,2020 est.
24,Georgia,31.7,2020 est.
25,Slovakia,31.5,2020 est.
26,Montenegro,31.4,2020 est.
27,Tonga,31,2020 est.
28,Turkey (Turkiye),30.7,2020 est.
29,Czechia,30.7,2020 est.
30,Belarus,30.5,2020 est.
31,Nepal,30.4,2020 est.
32,Estonia,29.7,2020 est.
33,Mongolia,29.4,2020 est.
34,Chile,29.2,2020 est.
35,Moldova,29,2020 est.
36,Marshall Islands,28.5,2020 est.
37,Romania,28,2020 est.
38,Madagascar,27.8,2020 est.
39,Spain,27.7,2020 est.
40,India,27.2,2020 est.
41,Russia,26.8,2020 est.
42,Austria,26.4,2020 est.
43,Ukraine,25.8,2020 est.
44,China,25.6,2020 est.
45,Armenia,25.5,2020 est.
46,Switzerland,25.5,2020 est.
47,Portugal,25.4,2020 est.
48,Kyrgyzstan,25.4,2020 est.
49,Samoa,25.3,2020 est.
50,Maldives,25.2,2020 est.
51,Vietnam,24.8,2020 est.
52,Tunisia,24.6,2020 est.
53,Argentina,24.5,2020 est.
54,Egypt,24.3,2020 est.
55,Lesotho,24.3,2020 est.
56,Malta,24,2020 est.
57,Sweden,24,2020 est.
58,Azerbaijan,24,2020 est.
59,Poland,24,2020 est.
60,Cook Islands,24,2020 est.
61,Belgium,23.4,2020 est.
62,Afghanistan,23.3,2020 est.
63,Kazakhstan,23.2,2020 est.
64,Italy,23.1,2020 est.
65,Fiji,23.1,2020 est.
66,United States,23,2020 est.
67,Philippines,22.9,2020 est.
68,Malaysia,22.5,2020 est.
69,Albania,22.4,2020 est.
70,Netherlands,22.2,2020 est.
71,Thailand,22.1,2020 est.
72,Sri Lanka,22,2020 est.
73,Slovenia,22,2020 est.
74,Germany,22,2020 est.
75,Finland,21.6,2020 est.
76,Uruguay,21.5,2020 est.
77,Israel,21.2,2020 est.
78,Luxembourg,21.1,2020 est.
79,Cambodia,21.1,2020 est.
80,Algeria,21,2020 est.
81,Ireland,20.8,2020 est.
82,"Korea, South",20.8,2020 est.
83,Comoros,20.3,2020 est.
84,South Africa,20.3,2020 est.
85,Yemen,20.3,2020 est.
86,Pakistan,20.2,2020 est.
87,Seychelles,20.2,2020 est.
88,Mauritius,20.2,2020 est.
89,Japan,20.1,2020 est.
90,Botswana,19.4,2020 est.
91,Iraq,18.5,2020 est.
92,Cuba,17.9,2020 est.
93,Kuwait,17.9,2020 est.
94,Vanuatu,17.8,2020 est.
95,Palau,17.6,2020 est.
96,Uzbekistan,17.6,2020 est.
97,Denmark,17.5,2020 est.
98,"Korea, North",17.4,2020 est.
99,Singapore,16.5,2020 est.
100,Brunei,16.2,2020 est.
101,Norway,16.2,2020 est.
102,United Kingdom,15.4,2020 est.
103,Namibia,15.1,2020 est.
104,Bahrain,14.9,2020 est.
105,"Congo, Republic of the",14.5,2020 est.
106,Morocco,14.5,2020 est.
107,Zambia,14.4,2020 est.
108,Burkina Faso,14.3,2020 est.
109,Mozambique,14.3,2020 est.
110,Saudi Arabia,14.3,2020 est.
111,New Zealand,13.7,2020 est.
112,Rwanda,13.7,2020 est.
113,Iran,13.6,2020 est.
114,Australia,13.6,2020 est.
115,Sierra Leone,13.5,2020 est.
116,Mexico,13.1,2020 est.
117,Canada,13,2020 est.
118,"Congo, Democratic Republic of the",12.8,2020 est.
119,Brazil,12.8,2020 est.
120,Bolivia,12.7,2020 est.
121,Guyana,12.1,2020 est.
122,Iceland,12,2020 est.
123,Burundi,11.8,2020 est.
124,Qatar,11.8,2020 est.
125,Zimbabwe,11.7,2020 est.
126,Paraguay,11.5,2020 est.
127,Cabo Verde,11.4,2020 est.
128,Ecuador,11.3,2020 est.
129,Kenya,11.1,2020 est.
130,"Gambia, The",11.1,2020 est.
131,Guatemala,10.9,2020 est.
132,Malawi,10.8,2020 est.
133,Mauritania,10.7,2020 est.
134,"Bahamas, The",10.6,2020 est.
135,Dominican Republic,10.6,2020 est.
136,Cote d'Ivoire,9.4,2020 est.
137,Jamaica,9.4,2020 est.
138,Eswatini,9.2,2020 est.
139,Guinea-Bissau,9,2020 est.
140,Costa Rica,8.8,2020 est.
141,Tanzania,8.7,2020 est.
142,Belize,8.5,2020 est.
143,Colombia,8.5,2020 est.
144,Barbados,8.5,2020 est.
145,Uganda,8.4,2020 est.
146,Mali,8.3,2020 est.
147,Chad,8.3,2020 est.
148,Liberia,8.2,2020 est.
149,Peru,8.1,2020 est.
150,Oman,8,2020 est.
151,El Salvador,7.9,2020 est.
152,Haiti,7.7,2020 est.
153,Eritrea,7.5,2020 est.
154,Niger,7.4,2020 est.
155,Cameroon,7.3,2020 est.
156,Senegal,6.9,2020 est.
157,Benin,6.9,2020 est.
158,Togo,6.8,2020 est.
159,Sao Tome and Principe,5.7,2020 est.
160,Turkmenistan,5.5,2020 est.
161,Ethiopia,5.1,2020 est.
162,Panama,5,2020 est.
163,Nigeria,3.7,2020 est.
164,Ghana,3.5,2020 est.
